date,日本酒 酸味,白麹,生酛,isPartial
2014-01-01,0,28,21,False
2014-02-01,0,20,12,False
2014-03-01,0,26,19,False
2014-04-01,0,25,11,False
2014-05-01,0,22,24,False
2014-06-01,0,25,15,False
2014-07-01,0,27,25,False
2014-08-01,0,21,18,False
2014-09-01,0,24,0,False
2014-10-01,0,28,14,False
2014-11-01,0,26,27,False
2014-12-01,0,31,25,False
2015-01-01,0,25,31,False
2015-02-01,0,33,37,False
2015-03-01,0,26,21,False
2015-04-01,0,18,25,False
2015-05-01,0,23,9,False
2015-06-01,0,37,17,False
2015-07-01,0,27,16,False
2015-08-01,0,29,0,False
2015-09-01,0,23,22,False
2015-10-01,0,28,23,False
2015-11-01,0,35,27,False
2015-12-01,0,28,36,False
2016-01-01,0,34,31,False
2016-02-01,0,45,25,False
2016-03-01,0,28,22,False
2016-04-01,0,21,26,False
2016-05-01,0,21,24,False
2016-06-01,0,23,20,False
2016-07-01,0,25,19,False
2016-08-01,0,27,15,False
2016-09-01,0,25,30,False
2016-10-01,0,32,34,False
2016-11-01,0,25,46,False
2016-12-01,8,30,44,False
2017-01-01,0,36,40,False
2017-02-01,0,34,41,False
2017-03-01,0,20,31,False
2017-04-01,0,39,42,False
2017-05-01,0,29,22,False
2017-06-01,0,33,23,False
2017-07-01,0,31,30,False
2017-08-01,0,28,29,False
2017-09-01,0,20,28,False
2017-10-01,0,19,38,False
2017-11-01,0,35,44,False
2017-12-01,0,30,42,False
2018-01-01,0,33,42,False
2018-02-01,0,31,48,False
2018-03-01,0,28,41,False
2018-04-01,9,29,30,False
2018-05-01,0,19,36,False
2018-06-01,0,35,32,False
2018-07-01,0,25,27,False
2018-08-01,0,21,31,False
2018-09-01,0,26,30,False
2018-10-01,0,30,41,False
2018-11-01,0,23,51,False
2018-12-01,0,25,45,False
2019-01-01,0,26,43,False
2019-02-01,0,42,43,False
2019-03-01,0,29,39,False
2019-04-01,0,27,30,False
2019-05-01,0,29,38,False
2019-06-01,0,34,33,False
2019-07-01,0,27,32,False
2019-08-01,0,25,34,False
2019-09-01,0,27,37,False
2019-10-01,0,22,39,False
2019-11-01,0,27,44,False
2019-12-01,0,31,38,False
2020-01-01,0,34,41,False
2020-02-01,0,37,37,False
2020-03-01,0,33,34,False
2020-04-01,0,35,29,False
2020-05-01,0,35,24,False
2020-06-01,0,36,30,False
2020-07-01,0,30,32,False
2020-08-01,0,26,26,False
2020-09-01,0,38,30,False
2020-10-01,0,37,33,False
2020-11-01,0,42,39,False
2020-12-01,0,36,53,False
2021-01-01,0,52,50,False
2021-02-01,8,72,49,False
2021-03-01,0,43,40,False
2021-04-01,0,35,29,False
2021-05-01,0,46,41,False
2021-06-01,0,33,30,False
2021-07-01,8,42,26,False
2021-08-01,0,37,24,False
2021-09-01,0,26,36,False
2021-10-01,0,29,36,False
2021-11-01,0,30,48,False
2021-12-01,11,88,50,False
2022-01-01,0,52,55,False
2022-02-01,0,43,51,False
2022-03-01,0,58,42,False
2022-04-01,0,44,46,False
2022-05-01,0,52,39,False
2022-06-01,0,41,42,False
2022-07-01,0,44,29,False
2022-08-01,0,39,33,False
2022-09-01,6,34,38,False
2022-10-01,0,36,55,False
2022-11-01,0,34,49,False
2022-12-01,0,36,57,False
2023-01-01,0,49,51,False
2023-02-01,11,52,63,False
2023-03-01,6,47,49,False
2023-04-01,6,46,44,False
2023-05-01,0,54,49,False
2023-06-01,0,52,48,False
2023-07-01,0,52,48,False
2023-08-01,0,44,43,False
2023-09-01,0,47,55,False
2023-10-01,0,47,67,False
2023-11-01,6,51,69,False
2023-12-01,8,41,86,False
2024-01-01,6,50,73,False
2024-02-01,0,48,83,False
2024-03-01,0,74,63,False
2024-04-01,0,61,66,False
2024-05-01,0,51,72,False
2024-06-01,10,50,56,False
2024-07-01,0,36,60,False
2024-08-01,6,44,53,False
2024-09-01,0,36,57,False
2024-10-01,0,48,65,False
2024-11-01,0,52,93,False
2024-12-01,0,58,100,False
2025-01-01,0,64,73,False
2025-02-01,10,55,71,False
2025-03-01,0,42,70,False
2025-04-01,7,46,61,False
2025-05-01,6,47,72,False
2025-06-01,0,47,54,False
2025-07-01,6,44,61,False
2025-08-01,0,54,60,False
2025-09-01,7,53,57,False
2025-10-01,9,45,75,False
2025-11-01,12,46,82,False
2025-12-01,8,65,81,False
2026-01-01,7,60,79,False
2026-02-01,0,64,77,False
2026-03-01,0,50,63,False
2026-04-01,8,43,66,False
